name,address_line1,address_line2,address_city,address_state,address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Mesa Roofing - Roof Repair & Replacement,2353 W Jacinto Ave,,Mesa,AZ,85202,Mesa Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0020.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/mesa-roofing-roof-repair-and-replacement-new.jpg,mesa-roofing-roof-repair-and-replacement,ro0020,roofing,yes
"Stout Roofing, Inc. | Mesa",1117 W University Dr,,Mesa,AZ,85201,Stout Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0021.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/stout-roofing-inc-mesa-new.jpg,stout-roofing-inc-mesa,ro0021,roofing,yes
Icon Roofing,2150 E Brown Rd #4,,Mesa,AZ,85213,Icon Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0022.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/icon-roofing-new.jpg,icon-roofing,ro0022,roofing,yes
Arizona Roofing Systems,935 E Sorenson Cir,,Mesa,AZ,85203,Arizona Roofing Systems,deserves a better,67,https://demo.buildlocal.agency/m/qr/ro0023.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/arizona-roofing-systems-new.jpg,arizona-roofing-systems,ro0023,roofing,yes
Titan Roofing & Construction,1107 S Gilbert Rd #210,,Mesa,AZ,85204,Titan Roofing & Construction,deserves a better,55,https://demo.buildlocal.agency/m/qr/ro0024.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/titan-roofing-and-construction-new.jpg,titan-roofing-and-construction,ro0024,roofing,yes
Real Roofing,481 N Arizona Ave,,Chandler,AZ,85225,Real Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0025.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/real-roofing-new.jpg,real-roofing,ro0025,roofing,yes
Chandler Roofing - Roof Repair & Replace,250 S Arizona Ave Suite 1,,Chandler,AZ,85225,Chandler Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0026.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/chandler-roofing-roof-repair-and-replacement-new.jpg,chandler-roofing-roof-repair-and-replacement,ro0026,roofing,yes
Next Level Roofers Chandler,1245 W Chandler Blvd,,Chandler,AZ,85224,Next Level Roofers Chandler,deserves a better,57,https://demo.buildlocal.agency/m/qr/ro0027.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/next-level-roofers-chandler-new.jpg,next-level-roofers-chandler,ro0027,roofing,yes
Discount Roofing LLC,1787 E Carla Vista Dr,,Chandler,AZ,85225,Discount Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0028.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/discount-roofing-llc-new.jpg,discount-roofing-llc,ro0028,roofing,yes
Roofing All Stars,2840 E Germann Rd #1011,,Chandler,AZ,85286,Roofing All Stars,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0029.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/roofing-all-stars-new.jpg,roofing-all-stars,ro0029,roofing,yes
Power Peak Roofing,235 W Warner Rd #8,,Chandler,AZ,85225,Power Peak Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0030.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/power-peak-roofing-new.jpg,power-peak-roofing,ro0030,roofing,yes
Ultimate Roofing Chandler,109 W Boston St #3,,Chandler,AZ,85225,Ultimate Roofing Chandler,deserves a better,62,https://demo.buildlocal.agency/m/qr/ro0031.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/ultimate-roofing-chandler-new.jpg,ultimate-roofing-chandler,ro0031,roofing,yes
Champion Metal Roofing Chandler,2434 E Westchester Dr,,Chandler,AZ,85249,Champion Metal Roofing Chandler,deserves a better,50,https://demo.buildlocal.agency/m/qr/ro0032.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/champion-metal-roofing-chandler-new.jpg,champion-metal-roofing-chandler,ro0032,roofing,yes
VHB Roofing,4980 S Alma School Rd #2-411,,Chandler,AZ,85248,VHB Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0034.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/vhb-roofing-new.jpg,vhb-roofing,ro0034,roofing,yes
ProGuard Roofing,1721 N Arizona Ave,,Chandler,AZ,85225,ProGuard Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0035.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/proguard-roofing-new.jpg,proguard-roofing,ro0035,roofing,yes
#1 Desert Roofing,572 N Cheri Lynn Dr,,Chandler,AZ,85225,#1 Desert Roofing,deserves a,78,https://demo.buildlocal.agency/m/qr/ro0036.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/1-desert-roofing-new.jpg,1-desert-roofing,ro0036,roofing,yes
Skylux Builders LLC – Roofing & Roof Rep,1413 N Sunview Pkwy,,Gilbert,AZ,85234,Skylux Builders,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0037.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/skylux-builders-llc-roofing-and-roof-repair-gilbert-new.jpg,skylux-builders-llc-roofing-and-roof-repair-gilbert,ro0037,roofing,yes
Weather-Tite Roofing & Construction,1220 W Houston Ave ste 2,,Gilbert,AZ,85233,Weather-Tite Roofing & Construction,deserves a better,44,https://demo.buildlocal.agency/m/qr/ro0038.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/weather-tite-roofing-and-construction-new.jpg,weather-tite-roofing-and-construction,ro0038,roofing,yes
Maverick Roofing And Exteriors | Gilbert,3248 E Isaiah Ct,,Gilbert,AZ,85298,Maverick Roofing And Exteriors,deserves a better,51,https://demo.buildlocal.agency/m/qr/ro0039.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/maverick-roofing-and-exteriors-gilbert-az-new.jpg,maverick-roofing-and-exteriors-gilbert-az,ro0039,roofing,yes
Panda Roofing and Construction,734 N Golden Key St Suite E-1,,Gilbert,AZ,85233,Panda Roofing and Construction,deserves a better,51,https://demo.buildlocal.agency/m/qr/ro0040.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/panda-roofing-and-construction-new.jpg,panda-roofing-and-construction,ro0040,roofing,yes
Parker & Sons,3636 E Anne St A,,Phoenix,AZ,85040,Parker & Sons,deserves a better,78,https://demo.buildlocal.agency/m/qr/hv0001.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/parker-and-sons-new.jpg,parker-and-sons,hv0001,hvac,yes
"Day & Night Air Conditioning, Heating, &",3669 E La Salle St,,Phoenix,AZ,85040,Day & Night Air Conditioning,deserves a better,55,https://demo.buildlocal.agency/m/qr/hv0002.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/day-and-night-air-conditioning-heating-and-plumbing-new.jpg,day-and-night-air-conditioning-heating-and-plumbing,hv0002,hvac,yes
Goettl Air Conditioning and Plumbing - P,4611 E Baseline Rd,,Phoenix,AZ,85042,Goettl Air Conditioning and Plumbing,deserves a better,43,https://demo.buildlocal.agency/m/qr/hv0003.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/goettl-air-conditioning-and-plumbing-phoenix-az-new.jpg,goettl-air-conditioning-and-plumbing-phoenix-az,hv0003,hvac,yes
Desert Diamond Air Cooling & Heating,16602 N 25th Ave,,Phoenix,AZ,85023,Desert Diamond Air Cooling & Heating,deserves a better,43,https://demo.buildlocal.agency/m/qr/hv0004.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/desert-diamond-air-cooling-and-heating-new.jpg,desert-diamond-air-cooling-and-heating,hv0004,hvac,yes
Ideal Air Conditioning and Insulation,4127 E University Dr,,Phoenix,AZ,85034,Ideal Air Conditioning and Insulation,deserves a better,41,https://demo.buildlocal.agency/m/qr/hv0005.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/ideal-air-conditioning-and-insulation-new.jpg,ideal-air-conditioning-and-insulation,hv0005,hvac,yes
North Valley Mechanical HVAC & Plumbing,2110 W Greenway Rd,,Phoenix,AZ,85023,North Valley Mechanical HVAC & Plumbing,deserves a better,39,https://demo.buildlocal.agency/m/qr/hv0006.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/north-valley-mechanical-hvac-and-plumbing-new.jpg,north-valley-mechanical-hvac-and-plumbing,hv0006,hvac,yes
Scottsdale Air Heating & Cooling,4747 E Thomas Rd STE F,,Phoenix,AZ,85018,Scottsdale Air Heating & Cooling,deserves a better,48,https://demo.buildlocal.agency/m/qr/hv0007.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/scottsdale-air-heating-and-cooling-new.jpg,scottsdale-air-heating-and-cooling,hv0007,hvac,yes
"1st Choice Plumbing, Air & Insulation",23309 N 17th Dr STE 116,,Phoenix,AZ,85027,1st Choice Plumbing,deserves a better,78,https://demo.buildlocal.agency/m/qr/hv0008.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/1st-choice-plumbing-air-and-insulation-new.jpg,1st-choice-plumbing-air-and-insulation,hv0008,hvac,yes
AZ Perfect Comfort Heating & Cooling,20650 N 29th Pl STE 104,,Phoenix,AZ,85050,AZ Perfect Comfort Heating & Cooling,deserves a better,43,https://demo.buildlocal.agency/m/qr/hv0009.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/az-perfect-comfort-heating-and-cooling-new.jpg,az-perfect-comfort-heating-and-cooling,hv0009,hvac,yes
Hobaica Services,10636 N Cave Creek Rd,,Phoenix,AZ,85020,Hobaica Services,deserves a better,78,https://demo.buildlocal.agency/m/qr/hv0010.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/hobaica-services-new.jpg,hobaica-services,hv0010,hvac,yes
Cool Zone Air Conditioning & Heating,2329 W Mescal St Suite 308,,Phoenix,AZ,85029,Cool Zone Air Conditioning & Heating,deserves a better,43,https://demo.buildlocal.agency/m/qr/hv0011.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/cool-zone-air-conditioning-and-heating-new.jpg,cool-zone-air-conditioning-and-heating,hv0011,hvac,yes
Benefit Air Conditioning,1315 W Indian School Rd,,Phoenix,AZ,85013,Benefit Air Conditioning,deserves a better,64,https://demo.buildlocal.agency/m/qr/hv0012.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/benefit-air-conditioning-new.jpg,benefit-air-conditioning,hv0012,hvac,yes
"John's Heating, Cooling, and Plumbing",211 E 10th Dr #2,,Mesa,AZ,85210,John's Heating,deserves a better,78,https://demo.buildlocal.agency/m/qr/hv0013.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/john-s-heating-cooling-and-plumbing-new.jpg,john-s-heating-cooling-and-plumbing,hv0013,hvac,yes
