to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,front_image,back_image,qr_target,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Skylux Builders LLC – Roofing & Roof Rep,1413 N Sunview Pkwy,,Gilbert,AZ,85234,https://demo.buildlocal.agency/m/flyers/skylux-builders-llc-roofing-and-roof-repair-gilbert-front.png,https://demo.buildlocal.agency/m/flyers/skylux-builders-llc-roofing-and-roof-repair-gilbert-back.png,https://demo.buildlocal.agency/q/ro0037,skylux-builders-llc-roofing-and-roof-repair-gilbert,ro0037,roofing,yes
Weather-Tite Roofing & Construction,1220 W Houston Ave ste 2,,Gilbert,AZ,85233,https://demo.buildlocal.agency/m/flyers/weather-tite-roofing-and-construction-front.png,https://demo.buildlocal.agency/m/flyers/weather-tite-roofing-and-construction-back.png,https://demo.buildlocal.agency/q/ro0038,weather-tite-roofing-and-construction,ro0038,roofing,yes
Maverick Roofing And Exteriors | Gilbert,3248 E Isaiah Ct,,Gilbert,AZ,85298,https://demo.buildlocal.agency/m/flyers/maverick-roofing-and-exteriors-gilbert-az-front.png,https://demo.buildlocal.agency/m/flyers/maverick-roofing-and-exteriors-gilbert-az-back.png,https://demo.buildlocal.agency/q/ro0039,maverick-roofing-and-exteriors-gilbert-az,ro0039,roofing,yes
Panda Roofing and Construction,734 N Golden Key St Suite E-1,,Gilbert,AZ,85233,https://demo.buildlocal.agency/m/flyers/panda-roofing-and-construction-front.png,https://demo.buildlocal.agency/m/flyers/panda-roofing-and-construction-back.png,https://demo.buildlocal.agency/q/ro0040,panda-roofing-and-construction,ro0040,roofing,yes
Parker & Sons,3636 E Anne St A,,Phoenix,AZ,85040,https://demo.buildlocal.agency/m/flyers/parker-and-sons-front.png,https://demo.buildlocal.agency/m/flyers/parker-and-sons-back.png,https://demo.buildlocal.agency/q/hv0001,parker-and-sons,hv0001,hvac,yes
"Day & Night Air Conditioning, Heating, &",3669 E La Salle St,,Phoenix,AZ,85040,https://demo.buildlocal.agency/m/flyers/day-and-night-air-conditioning-heating-and-plumbing-front.png,https://demo.buildlocal.agency/m/flyers/day-and-night-air-conditioning-heating-and-plumbing-back.png,https://demo.buildlocal.agency/q/hv0002,day-and-night-air-conditioning-heating-and-plumbing,hv0002,hvac,yes
Goettl Air Conditioning and Plumbing - P,4611 E Baseline Rd,,Phoenix,AZ,85042,https://demo.buildlocal.agency/m/flyers/goettl-air-conditioning-and-plumbing-phoenix-az-front.png,https://demo.buildlocal.agency/m/flyers/goettl-air-conditioning-and-plumbing-phoenix-az-back.png,https://demo.buildlocal.agency/q/hv0003,goettl-air-conditioning-and-plumbing-phoenix-az,hv0003,hvac,yes
Desert Diamond Air Cooling & Heating,16602 N 25th Ave,,Phoenix,AZ,85023,https://demo.buildlocal.agency/m/flyers/desert-diamond-air-cooling-and-heating-front.png,https://demo.buildlocal.agency/m/flyers/desert-diamond-air-cooling-and-heating-back.png,https://demo.buildlocal.agency/q/hv0004,desert-diamond-air-cooling-and-heating,hv0004,hvac,yes
Ideal Air Conditioning and Insulation,4127 E University Dr,,Phoenix,AZ,85034,https://demo.buildlocal.agency/m/flyers/ideal-air-conditioning-and-insulation-front.png,https://demo.buildlocal.agency/m/flyers/ideal-air-conditioning-and-insulation-back.png,https://demo.buildlocal.agency/q/hv0005,ideal-air-conditioning-and-insulation,hv0005,hvac,yes
North Valley Mechanical HVAC & Plumbing,2110 W Greenway Rd,,Phoenix,AZ,85023,https://demo.buildlocal.agency/m/flyers/north-valley-mechanical-hvac-and-plumbing-front.png,https://demo.buildlocal.agency/m/flyers/north-valley-mechanical-hvac-and-plumbing-back.png,https://demo.buildlocal.agency/q/hv0006,north-valley-mechanical-hvac-and-plumbing,hv0006,hvac,yes
